name,screenname,Name Gender,Result
?Scottie Bhoy?,ScottieBhoy67,Male,1
Calvin Williams,CalvinW7,Male,1
Ernie Acosta,ErnieAcostaWFAN,Male,1
athena / tear,malfoyroses,Female,1
?????,Jhiellalla,Female,0
LeAnn Malaschak ???????,prairiegirl0028,Female,1
Julie Newmar????,DreaOnassis,Female,1
Hassan Khan,hassan_k82,Male,1
Cole,Co_Po5,Male,1
Ian Harrold,IanHarrold1,Male,1
Cherie Ann ?,Cherbear2936,Female,1
Nate,Natepeterson55,Male,1
mike,church143,Male,1
Bradley,1BradleyRussell,Male,1
Cap N. Junkie ??,capnjunkie,Male,0
||)|)??,ClarizCarrao,Female,0
Ebony Dark’ness Dementia Raven Way,AllMyImmortal,Female,1
Jo Neary,joanne_neary,Female,1
veronica,vapetana,Female,1
Dave Robins,EmeryGunners,Male,1
steph,_sunnyTAE,Female,1
Warren Bell,wbellauthor,Male,1
victoria,_toristrong,Female,1
Pam Machucki,PamMachucki,Female,1
#Chubbae ??,JackiieSmacks,Female,1
Renee Lopez,lookn4aFULLRIDE,Female,1
North Amherst Motors,NAmherstMotors,Male,-1
Prince ???????,dusty4lif,Male,1
Aurelia - MTVLA ends 3Jun GMT-5,AureUnnie,Female,1
Huey,kicker2012r,Male,1
allana,allanagutz,Male,-1
naomi,naomicelia,Female,1
karl wells,karl_wells,Male,1
Leanne McIntire,lanniemc,Female,1
IsraelMania,TheIsDoctor,Male,0
Andrew Gallix,andrewgallix,Male,1
kiera?,peppermint_teas,Female,1
Christina DiCarlo,cdicarlo21,Male,-1
Lydia ?,lkmad,Female,1
Judz Philip,jphilipcor,Male,0
Mike,HoserMess,Male,1
liz ?,ninja_ups,Female,1
QUEEN B!!,MrsVickers911,Female,1
Gregory Brock Music,gregorybrock,Male,1
Medu$a,Lovely_Liesha,Female,1
IngridsWorld,SimplyYIngrid,Female,1
Keith Wales,SentinelSportEd,Male,1
Matt Railey,mattrailey,Male,1
shan ?,kooktaeu,Male,0
Rich Orsillo,richorsillo,Male,1
Kathy Cogburn,cogburn_kathy,Female,1
David Leyte-Vidal,DLeyteVidal,Male,1
kylie,zaidhi,Female,1
Lelauh,MercyLelgo,Female,1
max,outrodaddies,Male,1
Daryn Kinsella-Wood,darynkw,Male,1
Sophie Griffiths,TTGTravelQueen,Female,1
Mitchell Brouillard,MitchyBSoT,Male,1
Megan: Yoonmin Enthusiast (NSFR),piedpipertho,Female,1
Ashley ?,GrandTheftAshly,Female,1
Katelyn Walker,katelyn_walkerr,Female,1
JB,jraphamarron,Male,0
Jeannette M. Amodeo,asecretstorm,Female,1
Sherman Maus,Sherman_Maus,Male,1
christopher balbin,christbalbin,Male,1
Jeremiah,redcoachjay,Male,1
Limón,leilaalvarado_,Female,1
kaitlyn?,KaitlynBaldini,Female,1
Jakobi_Obi,Jakobi_Obi,Male,1
JAY,itsJayThaGoat,Male,1
Sharon Harris,SharonHarrisTO,Male,-1
Megan Littler,meganlittler19,Female,1
† Crusader,Wil_Johnson1,Male,1
Todd Rowell,onlyanumber,Male,1
Faisal.,OneAndOnlyCFC,Male,1
Jeff Gallagher,PapaJeff86,Male,1
August West,salty_dawg69,Male,1
?,_TeddyIcewater,Male,1
Polo Collision,Polocollision,Male,1
Debbie,Dangchick1,Female,1
jess,motionsicknxss,Male,0
Nick Stellini,StelliniTweets,Male,1
Lex?CosmiqueDeFreak?Forest18,RainDanceLexi,Male,0
Brennan Ebooks,bren_ebooks,Male,1
sienna,JACK4VERY,Female,1
Matt G,Mattygizme,Male,1
Brian James,General_Tech,Male,1
callum marshall,cmarshallll7,Male,1
PRIA India,PRIA_India,Female,0
Bella?,BellaBeaman_,Female,1
Makayla Konopasek,makaylakonooo,Female,1
Derick hunter,LeeKountyKing,Male,1
LA DADA,SMajolie,Female,0
Jane ? #NeverAgain,AntiBullyJane,Female,1
MsConsuelo,consueloyd,Female,1
Big Capo,caixjohnson,Male,0
Betsy Myers,betsyisawesome,Female,1
Kenny Thrush,KennethDThrush,Male,1
Jimmie&Judy McAdams,TheMcAdamsTeam,Male,-1
mack,MAACKSHYT,Male,1
