location,State,Result
"Aberdeen, Scotland",NotAState,1
USA,NotAState,1
U.S,NotAState,1
Nigeria,NotAState,1
Privet Drive,NotAState,1
Run by @cosmiicprince,NotAState,1
In his heart,NotAState,1
australia ,NotAState,1
A to the G to the U to the STD,NotAState,1
Bebe Rexha's Basement,NotAState,1
UK... or am I? Mwaha,NotAState,1
m ,NotAState,1
Pasig City,NotAState,1
?,NotAState,1
"Sevilla, España",NotAState,1
magic shop,NotAState,1
Genovia,NotAState,1
Spelman College,NotAState,1
"?????, ???????",NotAState,1
Jhb,NotAState,1
"Sicily, Italy",NotAState,1
"Galway, Ireland",NotAState,1
Not London but Surrey!!!,NotAState,1
nigeria,NotAState,1
ph,NotAState,1
"Freetown, Sierra Leone",NotAState,1
In Yewr Gossips ,NotAState,1
the moon,NotAState,1
San Diego,NotAState,-1
Liverpool,NotAState,1
United States,NotAState,1
St. Louis Park,NotAState,-1
wnj™,NotAState,1
"Have pun, will travel",NotAState,1
"Kitchener, Ontario",NotAState,1
ILAGAN,NotAState,1
"Hogwarts, England",NotAState,1
United States,NotAState,1
"Tokyo, Japan",NotAState,1
??,NotAState,1
Glasgow,NotAState,1
 t m z k ,NotAState,1
United States,NotAState,1
United Kingdom,NotAState,1
lbk,NotAState,1
Worldwide,NotAState,1
Wiltshire uk,NotAState,1
drea 071717? ,NotAState,1
??,NotAState,1
Chipotle,NotAState,1
soflo,NotAState,1
Republic of Gilead,NotAState,1
- dm[V].,NotAState,1
     ,NotAState,1
United States,NotAState,1
Liberty High,NotAState,1
Calgary or thereabouts,NotAState,1
New Nigeria ,NotAState,1
Crayon Box,NotAState,1
keith / aberdeen,NotAState,1
"Johannesburg, South Africa",NotAState,1
Las Noches,NotAState,1
LongliveKINGDAVE,NotAState,1
Straight outta ARMY®,NotAState,1
Dubai,NotAState,1
Under the Cherry Moon ,NotAState,1
Republic of the Philippines,NotAState,1
Rock City,NotAState,1
underground,NotAState,1
elsewhere,NotAState,1
laila owns my heart @stdvante,NotAState,1
In My Bag?,NotAState,1
?????,NotAState,1
"Washington, DC",NotAState,1
Kampala Uganda,NotAState,1
Somewhere in the universe ,NotAState,1
"St. John's, Canada",NotAState,1
Ann?Elisa?,NotAState,1
Renjun's,NotAState,1
"London, England",NotAState,1
"[UK] ecrmjgl, bps",NotAState,1
Definitely Some Place,NotAState,1
acg / angela,NotAState,1
PH 134340,NotAState,1
idk,NotAState,1
Scotland,NotAState,1
"Paris, France",NotAState,1
"OH, DID YOU THINK WE WERE DONE?",NotAState,1
"Limassol, Cyprus",NotAState,1
United States,NotAState,1
Right Behind You,NotAState,1
Up on Yonder,NotAState,1
ma City,NotAState,1
DVO,NotAState,1
"Hamilton, Ontario, Canada",NotAState,1
OT7 ,NotAState,1
"iPhone: 54.512798,-1.314150",NotAState,1
SE LDN/Portsmouth,NotAState,1
The word of the assassins,NotAState,1
A server room,NotAState,1
