tweet,Sports,Result
I’m so fucking excited for he NFL to hemorrhage money this next year,1,1
"The competition is real .... Team USA 2 wins, Team CANADA 3 wins https://t.co/YpxtlF4ths",1,0
And here I thought the whole fun of being a billionaire was giving exactly ZERO fucks what people think and yet NFL owners are too fucking stupid to take advantage of even THAT,1,1
"@BurgessDean @mspinks10 @MartinTideswell No hoping about it, old fruit... you will celebrate everything good about sport in Stoke on Trent!",1,0
"@realDonaldTrump Translation: Not surprisingly, the GREAT Men & Women of the USA are speaking out against ME & all of the political corruption & poor leadership found within the top ranks of the #WH. I am a terrible and corrupt leader who has inflicted gr",1,-1
@DFB_Team_EN @JB17Official Neuer and Boateng shouldn't be at World cup,1,1
please score today @Cristiano,1,1
Fulham the better footballing side deserved it. Score line a true reflection of the teams and match!,1,1
?CLUB CELEBRATION DAY - SAVE THE DATE ?  ??21 JULY 2018 ??The Abbey School ??11am-4pm  ?Inflatables ??Bubble Football ??Speed Cage ?Food & Drink ?@ClubLegendsUK Photography ?Ice Cream van ????Girls Football Festival ?Age Group Presentations  #UnleashTheForce https://t.co/WA4sTY05Ke,2,1
More photos of Footballer Emmanuel Emenike and Iheoma Nnaji at their wedding https://t.co/nnNbMdEj7G https://t.co/uRLZwYJk3B,1,1
"#SSSupersport YNWA come on boys make us proud tonight, the stage is all yours. Liverpool 4 Life.",1,1
For anyone that doesn’t know you can watch the champions league final on YouTube at BtSport #HalaMadid,1,1
"@ejmaroun I get this, I do, but I can’t put it past leading the team to championship down 3-1 to the 73-9 Warriors.",1,1
@AntiqueFootball @GettyImages @LFC 4 Scots in the starting 11,1,1
Come of  Madrid!!!!!   #HalaMadrid #UCLfinal #Ronaldo,1,1
@bobfescoe @Chiefs @NFL @ProFootballTalk I agree.  At least he isn’t campaigning for Kobach I guess,2,1
Lebron gotta go for 70 now ? https://t.co/o2VLJy0lxT,1,1
Under Armour: The official polo of Dad’s who used to be good at sports.,1,1
"Football is just crazy...so @ManUtd fans are supporting @realmadrid, and @FCBarcelona fans are supporting @LFC ?eat?",1,1
Could be an advantage for the Cavs https://t.co/dNBn8KSbpJ,1,1
"Dads tips for finding a man:  1. Come from old money, no need for self establishing  2. Doesn’t ask for much (cleaning, mowing) 3. Unlimited checking account  4. Suite/box in an SEC football stadium",1,1
This LeBron 60 point triple double will be fun to watch.,1,1
Real Madrid is taking this one 4 - 1 #CR7 #RealMadrid #SSFootball,1,1
"LeBron to get 53, 18 Reb and 14 dimes . That's your script right there ?????? https://t.co/9dEAvp7ayR",1,1
Champions keep playing until they get it right.– Billie Jean King #sport #quote   https://t.co/uaQusH2TeP,1,1
@NFL @NickFoles Steelers nation boos when he takes the field.,1,1
@Bongoblue10 @skysports_bryan @SkySports Glad you agree,1,0
#UCLfinal  Teams enlisted their #gladiators  @realmadriden vs @LFC  #football https://t.co/TbNR3qYCG6,1,1
We the People will miss you but good luck in your new ventures! NFLX https://t.co/rVQWZ7OKBj,1,-1
#SSFootball #ChampionsLeagueFinal Liver to Deliver,1,1
Football https://t.co/1vn5NhYofv,1,1
@Detroit67Book @pforpaddy @JimSpenceSport Stop it!,1,0
"@RequestABet here's my #RequestABet: ronaldo and salah to score, over 2.5 goals, BTTS, 4 corners each team and 20 booking pts each team",1,1
